код ТТ;Название ТТ;Широта;Долгота;Продажи;Кластер;Нов продажи с корректировкой 25;Топ/аут;Потенциал продаж;Субканал (формат);Ассортимент,добавить sku:;Цена, снизить sku:;Выкладка на ХП, добавить:;Выкладка на ТП, добавить:;Оборудование, добавить:;ДМП, добавить:
53400000004492;ИП Гатиятова Л.Р.;55,2547418538514;61,3977564424698;11.7210126052009;ПродуктЧрПрил423;22,85184568;0;0,2;Торговля через прилавок;10;;18;;;
298790001343937;Золотая долина;55,232797;61,368543;6.35970032405998;Ресторан, бар, отель213;6,359700324;1;0;Непивная ХоРеКа;;;;;;
298790001361128;Шашлычная;55,230882;61,368364;3.71962085726571;Ресторан, бар, отель213;5,792753817;0;0,2;Непивная ХоРеКа;4;;;;;
298790001344284;Ипподром;55,142307;61,392654;1.92346608946688;Пивная(кеги)213;8,523453344;0;0,2;Бирбутики;10;;29;;;
298790001350456;Чебуречная #1;55,145443;61,45198;0.347323626315125;Ресторан, бар, отель204;9,969329778;0;0,2;Фаст Фуд Normal;3;;;;;
298790001357181;Шашлычный дворик;55,0389671325684;61,378173828125;20.7034765950118;Ресторан, бар, отель223;20,7034766;1;0;Фаст Фуд Basic;;;;;;
298790001347567;Кружка;55,165653;61,43545;1.71541545438882;Бирбутики213;2,966476957;0;0,2;Бирбутики;;;;;1;
298790001347570;Магазин;55,135773;61,427364;29.6360639742394;Пивная(кеги)223;49,35807859;0;0,2;Бирбутики;10;;10,2611922;;;
298790001360446;Продукты;55,1970623;61,3174531;30.0475106743944;Бирбутики213;30,04751067;1;0;Бирбутики;;;;;;
298790001342091;Магнит Зажевичи;55,206796;61,284326;132.398874902958;ПродуктСО533;132,4588263;0;0,000452809;Конвиниенс;10;;1;22;;
298790001360146;За Пивом;55,208832;61,294623;1.15340240412102;Бирбутики213;2,404463906;0;0,2;Бирбутики;10;;;;;
298790001357574;Уралпиво;55,1689109802246;61,4691886901855;24.7990638918066;Пивная(кеги)303;24,79906389;1;0;Бирбутики;;;;;;
298790001342705;Чижик;55,1902538;61,3871813;21.9809448932837;ПродуктСО503;37,05135824;0;0,2;Жесткие Дискаунтеры;10;;;;;
298790001342706;Чижик;55,244423;61,36698;23.5253729920298;ПродуктСО503;38,59578633;0;0,2;Жесткие Дискаунтеры;10;;;;;
298790001342707;Чижик;55,187836;61,274625;7.44017617837577;ПродуктСО503;22,51058952;0;0,2;Жесткие Дискаунтеры;10;;;;;
298790001342708;Чижик;55,177083;61,306602;16.8585312433497;ПродуктСО503;31,92894459;0;0,2;Жесткие Дискаунтеры;10;;;;;
298790001355834;Ч74070 Челябинск Сталеваров 1;55,2668;61,40301;36.1114391433061;ПродуктСО503;50,23471114;0;0,2;Жесткие Дискаунтеры;10;;;;;
298790001355835;Ч74092 Челябинск Эльтонская2-я;55,1773245;61,5236515;30.6605715126372;ПродуктСО503;50,23471114;0;0,2;Жесткие Дискаунтеры;10;;;;;
298790001355857;Ч74108 Челябинск Гражданская29;55,12918;61,419523;28.4423094704819;ПродуктСО503;50,23471114;0;0,2;Жесткие Дискаунтеры;10;;;;;
298790001355910;Ч74103 Челябинск Масленникова;55,1184768676758;61,459415435791;28.4689604007568;ПродуктСО503;50,23471114;0;0,2;Жесткие Дискаунтеры;10;;;;;
298790001355935;Ч74099 Челябинск Молодогвар35Б;55,186643;61,333572;18.4814782346457;ПродуктСО503;33,55189158;0;0,2;Жесткие Дискаунтеры;10;;;;;
298790001355979;Ч74111 Челябинск Каслинская38А;55,1863484;61,3931662;9.91582042534712;ПродуктСО503;24,98623377;0;0,2;Жесткие Дискаунтеры;10;;;;;
298790001356860;Монетка;55,140167;61,40894;19.0902375717453;ПродуктСО513;48,74037593;0;0,2;Конвиниенс;10;;15;35;;
298790001355744;26465-Пятерочка;55,17246;61,524653;137.528942612929;ПродуктСО514;137,5289426;1;0;Конвиниенс;;;;;;
298790001355794;26685-Пятерочка;55,164515;61,469137;78.4418380760832;ПродуктСО413;82,35002502;0;0,049822735;Конвиниенс;10;;17;35;;
298790001355821;26079-Пятерочка;55,207482;61,300023;45.7335094613812;ПродуктСО413;82,35002502;0;0,2;Конвиниенс;10;;29;35;;
298790001355825;26684-Пятерочка;55,262447;61,404736;38.1296688796789;ПродуктСО513;67,77980724;0;0,2;Конвиниенс;10;;28;35;;
298790001355996;27431-Пятерочка;55,24167;61,38041;23.2287213505795;ПродуктСО423;58,19622679;0;0,2;Конвиниенс;10;;8;35;;
298790001363323;Перекресток;55,178588;61,355221;70.975252474254;ПродуктСО433;120,0517368;0;0,2;Супермаркеты;;;29;35;;
298790001363788;ПитСтоп;55,241498;61,415534;5.50729752241123;Ресторан, бар, отель201;5,507297522;1;0;Непивная ХоРеКа;;;;;;
