код ТТ;Название ТТ;Широта;Долгота;Продажи;Кластер;Нов продажи с корректировкой 25;Топ/аут;Потенциал продаж;Субканал (формат);Ассортимент,добавить sku:;Цена, снизить sku:;Выкладка на ХП, добавить:;Выкладка на ТП, добавить:;Оборудование, добавить:;ДМП, добавить:
2,9452E+14;Магнит Алансон;55,19824219;61,33824539;109.989673024149;ПродуктСО533;132,4588263;0;0.2;Конвиниенс;;10;26;;;
2,9452E+14;Магнит Лордерон;55,19379044;61,34231186;75.4842317190195;ПродуктСО523;112,8544541;0;0.2;Конвиниенс;;;29;;;
2,9879E+14;Магнит Ириомотэ;55,19432505;61,35740777;103.554474663609;ПродуктСО523;112,8544541;0;0.089807606;Конвиниенс;;;29;;;
2,9879E+14;Магнит Фондан;55,1944115;61,3141785;175.783942777367;ПродуктСО423;175,7839428;1;0;Конвиниенс;;;;;;
2,9452E+14;Магнит Харон;55,18572048;61,33242321;27.7175262325676;ПродуктСО523;61,57386246;0;0.2;Конвиниенс;8;;25;7;;
6822254;Магнит Альзок;55,19499588;61,33054352;39.1111776135247;ПродуктСО523;72,96751385;0;0.2;Конвиниенс;10;;24;;;
2,9879E+14;Магнит Бестиарий;55,1915998;61,37753975;93.8347535880458;ПродуктСО423;116,5583515;0;0.2;Конвиниенс;;;9;;;
2,9452E+14;Магнит Цефей;55,12244866;61,46944765;131.259553525044;ПродуктСО423;131,2595535;1;0;Конвиниенс;;;;;;
2,9452E+14;Магнит Изола;55,12105152;61,46963557;142.489842126886;ПродуктСО423;142,4898421;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Актуру;55,1232354;61,465769;145.727290243101;ПродуктСО423;145,7272902;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Фирозабад;55,121088;61,51328;83.2613742428206;ПродуктСО423;116,5583515;0;0.2;Конвиниенс;;;10;2;;6
N*551753157;Магнит Горелов;55,12230107;61,51459037;117.479644683256;ПродуктСО423;117,4796447;1;0;Конвиниенс;;;;;;
