код ТТ;Название ТТ;Широта;Долгота;Продажи;Кластер;Нов продажи с корректировкой 25;Топ/аут;Потенциал продаж;Субканал (формат)
6822230;Магнит Агасфер;55,1891042;61,3865204;30.40261065;ПродуктСО503;50,23471114;0;0.652315708;Конвиниенс
2,9452E+14;Магнит Цефей;55,12244866;61,46944765;131.2595535;ПродуктСО423;131,2595535;1;0;Конвиниенс
2,9452E+14;Магнит Изола;55,12105152;61,46963557;142.4898421;ПродуктСО423;142,4898421;1;0;Конвиниенс
2,9879E+14;Магнит Актуру;55,1232354;61,465769;145.7272902;ПродуктСО423;145,7272902;1;0;Конвиниенс
2,9879E+14;Магнит Фирозабад;55,121088;61,51328;83.26137424;ПродуктСО423;116,5583515;0;0.399909052;Конвиниенс
N*551753157;Магнит Горелов;55,12230107;61,51459037;117.4796447;ПродуктСО423;117,4796447;1;0;Конвиниенс
2,9879E+14;Пятерочка Х5;55,14434323;61,41350716;100.2703484;ПродуктСО533;132,4588263;0;0.321016915;Конвиниенс
2,9879E+14;Магнит Арриба;55,14092267;61,42391045;44.18320296;ПродуктСО503;50,23471114;0;0.136963999;Конвиниенс
2,9879E+14;Магнит Назначение;55,14055994;61,43308982;139.5980937;ПродуктСО523;139,5980937;1;0;Конвиниенс
2,9879E+14;Магнит Змееборец;55,15240304;61,409913;75.75078533;ПродуктСО522;107,8619653;0;0.423905572;Конвиниенс
2,9879E+14;Магнит Подношение;55,155319;61,366307;68.22555955;ПродуктСО513;98,83379452;0;0.448632964;Конвиниенс
2,9879E+14;Магнит Передерживание;55,145998;61,411546;101.5437929;ПродуктСО523;112,8544541;0;0.111387027;Конвиниенс
2,9879E+14;Пятёрочка;55,206796;61,284326;81.51610473;ПродуктСО513;98,83379452;0;0.212445011;Конвиниенс
N295629;Пятерочка-5568;55,23429871;61,30121994;100.0212421;ПродуктСО513;100,0212421;1;0;Конвиниенс
2,9879E+14;Магнит Огнеполье;55,20898;61,308087;66.65230924;ПродуктСО423;116,5583515;0;0.748751886;Конвиниенс
2,9879E+14;Магнит Сословие;55,2183515;61,2978312;131.8413129;ПродуктСО523;131,8413129;1;0;Конвиниенс
2,9879E+14;Магнит Россошанский;55,240018;61,3099775;155.271318;ПродуктСО522;155,271318;1;0;Конвиниенс
2,9879E+14;Магнит Учкуприк;55,234974;61,29846;141.4161354;ПродуктСО423;141,4161354;1;0;Конвиниенс
2,9879E+14;Магнит Кулверсити;55,21800613;61,29005051;144.2738539;ПродуктСО533;144,2738539;1;0;Конвиниенс
2,9879E+14;Магнит Хорнема;55,217249;61,301044;132.4045567;ПродуктСО543;132,4045567;1;0;Конвиниенс
6822269;Магнит Савка;55,20846833;61,30326745;105.7651374;ПродуктСО423;116,5583515;0;0.102048883;Конвиниенс
2,9452E+14;Магнит Бейвеля;55,19141219;61,27955193;57.61581857;ПродуктСО543;94,56793697;0;0.6413537;Конвиниенс
2,9879E+14;Магнит Гумма;55,18948803;61,27654116;20.18765439;ПродуктСО503;35,25806773;0;0.746516314;Конвиниенс
N*551754194;Магнит Гайтан;55,2348818;61,3030774;93.19392109;ПродуктСО433;120,0517368;0;0.288192786;Конвиниенс
N*551754264;Магнит Лайфстронг;55,17786485;61,25907931;50.83984192;ПродуктСО523;84,69617815;0;0.665941021;Конвиниенс
2,9879E+14;ТС Пятерочка;55,165678;61,531543;212.5183456;ПродуктСО414;212,5183456;1;0;Конвиниенс
2,9879E+14;ТС Пятерочка;55,113364;61,458743;71.64038465;ПродуктСО513;98,83379452;0;0.379582131;Конвиниенс
2,9879E+14;ТС Пятерочка;55,171879;61,441963;57.77588355;ПродуктСО414;84,52185922;0;0.462926294;Конвиниенс
2,9879E+14;Магнит Дакапо;55,039445;61,377823;66.3010973;ПродуктСО513;98,83379452;0;0.490681128;Конвиниенс
2,9879E+14;Пятерочка Х5;55,14778236;61,41622692;58.79446632;ПродуктСО513;98,83379452;0;0.681005045;Конвиниенс
1911017540;Магнит Белорецкий;55,12310407;61,36724845;123.2670534;ПродуктСО423;123,2670534;1;0;Конвиниенс
2,9452E+14;Магнит Камень;55,11715574;61,35495236;152.4059192;ПродуктСО433;152,4059192;1;0;Конвиниенс
2,9879E+14;Магнит Коммунарск;55,11353;61,346573;100.9938256;ПродуктСО443;153,2682432;0;0.517600133;Конвиниенс
2,9879E+14;Магнит;55,126452;61,365902;67.95396434;ПродуктСО423;116,5583515;0;0.715254623;Конвиниенс
2,9879E+14;Магнит;55,13566;61,39349;98.05633208;ПродуктСО522;107,8619653;0;0.1;Конвиниенс
N*551754191;Магнит Негелия;55,1144559;61,3479182;85.06164997;ПродуктСО433;120,0517368;0;0.411349731;Конвиниенс
2,9879E+14;Магнит Выработка;55,14716082;61,41283628;36.59111717;ПродуктСО503;50,23471114;0;0.372866286;Конвиниенс
2,9879E+14;Магнит Долгодеревенское;55,112206;61,363935;193.1596899;ПродуктСО523;193,1596899;1;0;Конвиниенс
N*55175159;Магнит Бургац;55,121227;61,3755415;77.40300007;ПродуктСО433;120,0517368;0;0.550995914;Конвиниенс
2,9452E+14;Монетка;55,24214939;61,37620972;66.17243423;ПродуктСО413;82,35002502;0;0.244476284;Конвиниенс
2,9452E+14;Монетка;55,12467343;61,43456217;44.75022972;ПродуктСО503;50,23471114;0;0.122557615;Конвиниенс
2,9879E+14;Монетка;55,17813154;61,336338;96.76722773;ПродуктСО413;96,76722773;1;0;Конвиниенс
2,9879E+14;Монетка;55,17513712;61,32654089;24.39222566;ПродуктСО503;39,462639;0;0.617836747;Конвиниенс
2,9879E+14;Монетка;55,03802153;61,36958276;22.47434009;ПродуктСО503;37,54475343;0;0.670560883;Конвиниенс
2,9879E+14;Монетка;55,16083146;61,4046723;8.812592891;ПродуктСО403;8,812592891;1;0;Конвиниенс
2,9879E+14;Монетка;55,19491798;61,33384719;65.7107758;ПродуктСО413;82,35002502;0;0.253219491;Конвиниенс
2,9879E+14;Монетка;55,1654919;61,4597859;44.3006964;ПродуктСО513;73,95083476;0;0.669292828;Конвиниенс
2,9879E+14;Монетка;55,16668511;61,2943256;26.1709775;ПродуктСО412;43,82692879;0;0.674638587;Конвиниенс
2,9879E+14;Монетка;55,19477728;61,30900159;33.78253451;ПродуктСО413;58,48754201;0;0.731295264;Конвиниенс
2,9879E+14;Монетка;55,19601543;61,48415018;58.65127035;ПродуктСО513;98,83379452;0;0.685109187;Конвиниенс
2,9879E+14;Монетка;55,1595087;61,41614388;49.38700722;ПродуктСО503;50,23471114;0;0.017164513;Конвиниенс
2,9879E+14;Монетка;55,184042;61,404952;125.9926135;ПродуктСО413;125,9926135;1;0;Конвиниенс
2,9879E+14;Монетка;55,130503;61,452733;47.71177129;ПродуктСО503;50,23471114;0;0.052878772;Конвиниенс
2,9879E+14;Монетка;55,142607;61,389815;19.75730963;ПродуктСО503;34,82772297;0;0.762776594;Конвиниенс
2,9879E+14;Монетка;55,1730893;61,3599807;13.0460719;ПродуктСО411;14,35067909;0;0.1;Конвиниенс
2,9879E+14;Монетка;55,165678;61,531543;33.7528259;ПродуктСО504;45,45605367;0;0.346733272;Конвиниенс
N*55056000;Монетка;55,1434938;61,44680277;18.59445959;ПродуктСО504;32,23127569;0;0.733380609;Конвиниенс
N*55056012;Монетка;55,16917385;61,52944498;17.17536475;ПродуктСО504;30,81218085;0;0.793975342;Конвиниенс
N*55056013;Монетка;55,18834904;61,27573873;37.24530246;ПродуктСО413;61,95030996;0;0.663305327;Конвиниенс
N125164317;Монетка;55,120887;61,432881;29.77243043;ПродуктСО503;50,23471114;0;0.687289563;Конвиниенс
2,9879E+14;Пятерочка;55,11882244;61,45641379;124.4143511;ПродуктСО423;124,4143511;1;0;Конвиниенс
2,9879E+14;Пятерочка;55,118617;61,459488;248.6940338;ПродуктСО433;248,6940338;1;0;Конвиниенс
N12166800;Пятерочка;55,10505933;61,48856007;151.2455666;ПродуктСО414;151,2455666;1;0;Конвиниенс
1911017559;Пятерочка;55,1315824;61,4342084;72.7879492;ПродуктСО513;98,83379452;0;0.357831834;Конвиниенс
2,9879E+14;Пятерочка;55,117134;61,422272;119.877977;ПродуктСО504;119,877977;1;0;Конвиниенс
1911017555;Пятерочка;55,17729549;61,45871453;121.3079205;ПродуктСО523;121,3079205;1;0;Конвиниенс
1911019465;Пятерочка;55,1661218;61,4595558;98.32675988;ПродуктСО413;98,32675988;1;0;Конвиниенс
N29561743;Пятерочка;55,17964291;61,46042726;62.47387128;ПродуктСО413;82,35002502;0;0.318151466;Конвиниенс
